date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:18	116700/116700	---MCZ	200	added ('OK')	text/html	etag:%224243-1767979959;gz%22	https://www.sabourg.com/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/index.html	(from )
22:53:18	111/111	---M-Z	200	added ('OK')	text/plain	etag:%223954-1767735049;gz%22	https://www.sabourg.com/robots.txt		(from )
22:53:18	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	C:/My%20Web%20Sites/https___www.sabourg.com_/ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	(from https://www.sabourg.com/)
22:53:19	2158/2158	---MCZ	200	added ('OK')	application/json	etag:%224343-1768060991;gz%22	https://www.sabourg.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sabourg.com%2F	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-json/oembed/1.0/embed40ac.json	(from https://www.sabourg.com/)
22:53:19	107247/107247	---M-Z	200	added ('OK')	text/html	etag:%224309-1768058386;gz%22	https://www.sabourg.com/it/home-italiano/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/it/home-italiano/index.html	(from https://www.sabourg.com/)
22:53:19	111818/111818	---MCZ	200	added ('OK')	text/html	etag:%224307-1768053479;gz%22	https://www.sabourg.com/en/english/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/en/english/index.html	(from https://www.sabourg.com/)
22:53:20	49463/49463	---MCZ	200	added ('OK')	application/rss+xml	etag:%22c60a512227704ae9c3c534a0f7582efb%22	https://www.sabourg.com/feed/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/feed/index.html	(from https://www.sabourg.com/)
22:53:21	2307/2307	---M-Z	200	added ('OK')	text/xml	etag:%224507-1768078405;gz%22	https://www.sabourg.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sabourg.com%2F&format=xml	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-json/oembed/1.0/embed7af5	(from https://www.sabourg.com/)
22:53:21	3343/3343	---MCZ	200	added ('OK')	text/css	etag:%2282180529-1768078367;gz%22	https://www.sabourg.com/wp-content/plugins/menu-image/includes/css/menu-image.css?ver=3.12	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/plugins/menu-image/includes/css/menu-imageae34.css	(from https://www.sabourg.com/)
22:53:21	59004/59004	---MCZ	200	added ('OK')	text/css	etag:%2282180541-1768078367;gz%22	https://www.sabourg.com/wp-includes/css/dashicons.min.css?ver=6.9	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-includes/css/dashicons.mind4d0.css	(from https://www.sabourg.com/)
22:53:21	4547/4547	---MCZ	200	added ('OK')	text/css	etag:%2282180530-1768078367;gz%22	https://www.sabourg.com/wp-content/plugins/wm-video-playlists/assets/css/style.css?ver=1.0.2	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/plugins/wm-video-playlists/assets/css/style20b9.css	(from https://www.sabourg.com/)
22:53:21	2782/2782	---MCZ	200	added ('OK')	text/css	etag:%2282180532-1768078367;gz%22	https://www.sabourg.com/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min.css?ver=1743060918	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min64c6.css	(from https://www.sabourg.com/)
22:53:21	40646/40646	---MCZ	200	added ('OK')	text/css	etag:%2282180531-1768078367;gz%22	https://www.sabourg.com/wp-content/themes/jannah/assets/css/base.min.css?ver=7.5.1	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/themes/jannah/assets/css/base.min8c10.css	(from https://www.sabourg.com/)
22:53:22	143359/143359	---MCZ	200	added ('OK')	text/css	etag:%2282180542-1768078367;gz%22	https://www.sabourg.com/wp-content/themes/jannah/assets/css/style.min.css?ver=7.5.1	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/themes/jannah/assets/css/style.min8c10.css	(from https://www.sabourg.com/)
22:53:22	46683/46683	---MCZ	200	added ('OK')	text/css	etag:%2282180533-1768078367;gz%22	https://www.sabourg.com/wp-content/themes/jannah/assets/css/widgets.min.css?ver=7.5.1	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/themes/jannah/assets/css/widgets.min8c10.css	(from https://www.sabourg.com/)
22:53:22	33666/33666	---MCZ	200	added ('OK')	text/css	etag:%2282180534-1768078367;gz%22	https://www.sabourg.com/wp-content/themes/jannah/assets/css/helpers.min.css?ver=7.5.1	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/themes/jannah/assets/css/helpers.min8c10.css	(from https://www.sabourg.com/)
22:53:22	58662/58662	---MCZ	200	added ('OK')	text/css	etag:%2282180536-1768078367;gz%22	https://www.sabourg.com/wp-content/themes/jannah/assets/css/fontawesome.css?ver=7.5.1	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/themes/jannah/assets/css/fontawesome8c10.css	(from https://www.sabourg.com/)
22:53:22	12018/12018	---MCZ	200	added ('OK')	text/css	etag:%2282180537-1768078367;gz%22	https://www.sabourg.com/wp-content/themes/jannah/assets/ilightbox/dark-skin/skin.css?ver=7.5.1	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/themes/jannah/assets/ilightbox/dark-skin/skin8c10.css	(from https://www.sabourg.com/)
22:53:23	13196/13196	---MCZ	200	added ('OK')	text/css	etag:%2282180535-1768078367;gz%22	https://www.sabourg.com/wp-content/themes/jannah/assets/css/plugins/shortcodes.min.css?ver=7.5.1	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/themes/jannah/assets/css/plugins/shortcodes.min8c10.css	(from https://www.sabourg.com/)
