date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:27	111/111	---MCZ	200	added ('OK')	text/plain	etag:%224116-1767862619;gz%22	https://www.sabourg.sbs/robots.txt		(from )
23:01:27	258882/258882	---M-Z	200	added ('OK')	text/html	etag:%223017-1767474779;gz%22	https://www.sabourg.sbs/	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/index.html	(from )
23:01:27	320/320	---M-Z	200	added ('OK')	image/svg+xml	etag:%2282181008-1768078891;gz%22	https://www.sabourg.sbs/wp-content/themes/dt-the7/images/x-lg.svg	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-content/themes/dt-the7/images/x-lg.svg	(from https://www.sabourg.sbs/)
23:01:27	687/687	---M-Z	200	added ('OK')	image/svg+xml	etag:%2282181010-1768078892;gz%22	https://www.sabourg.sbs/wp-content/themes/dt-the7/images/the7-share-fill.svg	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-content/themes/dt-the7/images/the7-share-fill.svg	(from https://www.sabourg.sbs/)
23:01:28	649/649	---M-Z	200	added ('OK')	image/svg+xml	etag:%2282181012-1768078892;gz%22	https://www.sabourg.sbs/wp-content/themes/dt-the7/images/the7-chevron-left.svg	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-content/themes/dt-the7/images/the7-chevron-left.svg	(from https://www.sabourg.sbs/)
23:01:28	643/643	---M-Z	200	added ('OK')	image/svg+xml	etag:%2282181013-1768078892;gz%22	https://www.sabourg.sbs/wp-content/themes/dt-the7/images/the7-chevron-right.svg	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-content/themes/dt-the7/images/the7-chevron-right.svg	(from https://www.sabourg.sbs/)
23:01:28	578/578	---MCZ	200	added ('OK')	image/svg+xml	etag:%2282170356-1768065012;gz%22	https://www.sabourg.sbs/wp-content/themes/dt-the7/images/the7-chevron-side.svg	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-content/themes/dt-the7/images/the7-chevron-side.svg	(from https://www.sabourg.sbs/)
23:01:28	122664/122664	---M-Z	200	added ('OK')	text/css	etag:%2282181014-1768078893;gz%22	https://www.sabourg.sbs/wp-content/litespeed/ucss/79ae360c89e81f4548e651bad0e2b0a7.css?ver=31fc6	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-content/litespeed/ucss/79ae360c89e81f4548e651bad0e2b0a7d37f.css	(from https://www.sabourg.sbs/)
23:01:28	1353/1353	---M-Z	200	added ('OK')	application/javascript	etag:%2282181015-1768078893;gz%22	https://www.sabourg.sbs/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	(from https://www.sabourg.sbs/)
23:01:29	880/880	---M-Z	200	added ('OK')	application/rss+xml	etag:%229b25e090799d88b638ec0779a84c6067%22	https://www.sabourg.sbs/feed/	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/feed/index.html	(from https://www.sabourg.sbs/)
23:01:29	268603/268603	---M-Z	200	added ('OK')	application/json	etag:%223243-1767611118;gz%22	https://www.sabourg.sbs/wp-json/	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-json/index.html	(from https://www.sabourg.sbs/)
23:01:31	77320/77320	---MCZ	200	added ('OK')	application/json	date:Sat,%2010%20Jan%202026%2021:01:36%20GMT	https://www.sabourg.sbs/wp-json/wp/v2/pages/7	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-json/wp/v2/pages/7.json	(from https://www.sabourg.sbs/)
23:01:31	1242/1242	---M-Z	403	error ('Forbidden')	text/html	date:Sat,%2010%20Jan%202026%2021:01:36%20GMT	https://www.sabourg.sbs/xmlrpc.php?rsd	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/xmlrpc0db0.php	(from https://www.sabourg.sbs/)
23:01:32	2620/2620	---M-Z	200	added ('OK')	application/json	etag:%223496-1767647120;gz%22	https://www.sabourg.sbs/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sabourg.sbs%2F	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-json/oembed/1.0/embedfbe5.json	(from https://www.sabourg.sbs/)
23:01:32	2726/2726	---M-Z	200	added ('OK')	text/xml	etag:%223497-1767647121;gz%22	https://www.sabourg.sbs/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sabourg.sbs%2F&format=xml	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-json/oembed/1.0/embed40db	(from https://www.sabourg.sbs/)
23:01:32	109663/109663	---M--	200	added ('OK')	image/png	etag:%2282055597-1767953868;;;%22	https://www.sabourg.sbs/wp-content/uploads/2023/05/logo-seb-2-1.png	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-content/uploads/2023/05/logo-seb-2-1.png	(from https://www.sabourg.sbs/)
23:01:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Jan%202026%2021:01:37%20GMT	https://sabourg.sbs/wp-content/uploads/2023/01/seborga2.jpg?id=124	C:/My%20Web%20Sites/https___www.sabourg.sbs_/sabourg.sbs/wp-content/uploads/2023/01/seborga2.cd9e6.delayed	(from https://www.sabourg.sbs/)
23:01:33	172888/172888	---M--	200	added ('OK')	image/jpeg	etag:%2282055589-1767953867;;;%22	https://www.sabourg.sbs/wp-content/uploads/2023/01/seborga2.jpg?id=124	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-content/uploads/2023/01/seborga2d9e6.jpg	(from https://www.sabourg.sbs/)
23:01:33	38884/38884	---M--	200	added ('OK')	image/png	etag:%2282055398-1767953765;;;%22	https://www.sabourg.org/wp-content/uploads/2025/03/sabourg-gold.png	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.org/wp-content/uploads/2025/03/sabourg-gold.png	(from https://www.sabourg.sbs/)
23:01:33	16/16	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Jan%202026%2021:01:38%20GMT	https://www.sabourg.sbs/wp-content/plugins/litespeed-cache/guest.vary.php	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/wp-content/plugins/litespeed-cache/guest.vary.html	(from https://www.sabourg.sbs/)
23:01:34	80183/80183	---M-Z	200	added ('OK')	text/html	etag:%224254-1767989467;gz%22	https://www.sabourg.sbs/e-cabinet/	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/e-cabinet/index.html	(from https://www.sabourg.sbs/)
23:01:34	74974/74974	---M-Z	200	added ('OK')	text/html	etag:%223498-1767647124;gz%22	https://www.sabourg.sbs/why-can-the-prince-of-seborga-only-be-a-religious-man/	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/why-can-the-prince-of-seborga-only-be-a-religious-man/index.html	(from https://www.sabourg.sbs/)
23:01:34	89062/89062	---M-Z	200	added ('OK')	text/html	etag:%223132-1767552143;gz%22	https://www.sabourg.sbs/other-princes-and-princesses-in-seborga/	C:/My%20Web%20Sites/https___www.sabourg.sbs_/www.sabourg.sbs/other-princes-and-princesses-in-seborga/index.html	(from https://www.sabourg.sbs/)
