date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:04	111/111	---M-Z	200	added ('OK')	text/plain	etag:%224245-1767982236;gz%22	https://www.sabourg.org/robots.txt		(from )
19:20:04	249002/249002	---M-Z	200	added ('OK')	text/html	etag:%223018-1767475743;gz%22	https://www.sabourg.org/	C:/My%20Web%20Sites/cloner/www.sabourg.org/index.html	(from )
19:20:04	2402/2402	---M-Z	200	added ('OK')	application/json	etag:%223311-1767646993;gz%22	https://www.sabourg.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sabourg.org%2F	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-json/oembed/1.0/embeda4d0.json	(from https://www.sabourg.org/)
19:20:05	2589/2589	---M-Z	200	added ('OK')	text/xml	etag:%223312-1767646994;gz%22	https://www.sabourg.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sabourg.org%2F&format=xml	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-json/oembed/1.0/embed4ce0	(from https://www.sabourg.org/)
19:20:05	872/872	---M-Z	200	added ('OK')	application/rss+xml	etag:%2268b72adca944ac8863046434416baf70%22	https://www.sabourg.org/feed/	C:/My%20Web%20Sites/cloner/www.sabourg.org/feed/index.html	(from https://www.sabourg.org/)
19:20:05	771/771	---M-Z	200	added ('OK')	application/rss+xml	etag:%2268b72adca944ac8863046434416baf70%22	https://www.sabourg.org/comments/feed/	C:/My%20Web%20Sites/cloner/www.sabourg.org/comments/feed/index.html	(from https://www.sabourg.org/)
19:20:05	320/320	---M-Z	200	added ('OK')	image/svg+xml	etag:%2282170819-1768065609;gz%22	https://www.sabourg.org/wp-content/themes/dt-the7/images/x-lg.svg	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-content/themes/dt-the7/images/x-lg.svg	(from https://www.sabourg.org/)
19:20:05	687/687	---M-Z	200	added ('OK')	image/svg+xml	etag:%2282170820-1768065609;gz%22	https://www.sabourg.org/wp-content/themes/dt-the7/images/the7-share-fill.svg	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-content/themes/dt-the7/images/the7-share-fill.svg	(from https://www.sabourg.org/)
19:20:05	649/649	---M-Z	200	added ('OK')	image/svg+xml	etag:%2282170821-1768065609;gz%22	https://www.sabourg.org/wp-content/themes/dt-the7/images/the7-chevron-left.svg	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-content/themes/dt-the7/images/the7-chevron-left.svg	(from https://www.sabourg.org/)
19:20:06	643/643	---M-Z	200	added ('OK')	image/svg+xml	etag:%2282170822-1768065609;gz%22	https://www.sabourg.org/wp-content/themes/dt-the7/images/the7-chevron-right.svg	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-content/themes/dt-the7/images/the7-chevron-right.svg	(from https://www.sabourg.org/)
19:20:06	578/578	---MCZ	200	added ('OK')	image/svg+xml	etag:%2282170271-1768064931;gz%22	https://www.sabourg.org/wp-content/themes/dt-the7/images/the7-chevron-side.svg	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-content/themes/dt-the7/images/the7-chevron-side.svg	(from https://www.sabourg.org/)
19:20:06	80174/80174	---MCZ	200	added ('OK')	text/css	etag:%2282055396-1767953765;gz%22	https://www.sabourg.org/wp-content/litespeed/ucss/b6477ea99ca8363e542ac2ba9dd0f7a3.css?ver=482c5	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-content/litespeed/ucss/b6477ea99ca8363e542ac2ba9dd0f7a395b8.css	(from https://www.sabourg.org/)
19:20:06	1353/1353	---M-Z	200	added ('OK')	application/javascript	etag:%2282170823-1768065610;gz%22	https://www.sabourg.org/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	(from https://www.sabourg.org/)
19:20:07	339684/339684	---M-Z	200	added ('OK')	application/json	etag:%223313-1767646996;gz%22	https://www.sabourg.org/wp-json/	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-json/index.html	(from https://www.sabourg.org/)
19:20:08	70615/70615	---MCZ	200	added ('OK')	application/json	date:Sat,%2010%20Jan%202026%2017:20:12%20GMT	https://www.sabourg.org/wp-json/wp/v2/pages/7	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-json/wp/v2/pages/7.json	(from https://www.sabourg.org/)
19:20:08	1242/1242	---M-Z	403	error ('Forbidden')	text/html	date:Sat,%2010%20Jan%202026%2017:20:12%20GMT	https://www.sabourg.org/xmlrpc.php?rsd	C:/My%20Web%20Sites/cloner/www.sabourg.org/xmlrpc0db0.php	(from https://www.sabourg.org/)
19:20:08	109663/109663	---M--	200	added ('OK')	image/png	etag:%2282055455-1767953767;;;%22	https://www.sabourg.org/wp-content/uploads/2023/05/logo-seb-2-1.png	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-content/uploads/2023/05/logo-seb-2-1.png	(from https://www.sabourg.org/)
19:20:09	38884/38884	---M--	200	added ('OK')	image/png	etag:%2282055398-1767953765;;;%22	https://www.sabourg.org/wp-content/uploads/2025/03/sabourg-gold.png	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-content/uploads/2025/03/sabourg-gold.png	(from https://www.sabourg.org/)
19:20:09	172888/172888	---M--	200	added ('OK')	image/jpeg	etag:%2282170827-1768065612;;;%22	https://www.sabourg.org/wp-content/uploads/2023/01/seborga2.jpg?id=124	C:/My%20Web%20Sites/cloner/www.sabourg.org/wp-content/uploads/2023/01/seborga2d9e6.jpg	(from https://www.sabourg.org/)
19:20:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Jan%202026%2017:20:13%20GMT	https://www.sabourg.org/conseil-de-la-couronne	C:/My%20Web%20Sites/cloner/www.sabourg.org/conseil-de-la-couronne	(from https://www.sabourg.org/)
19:20:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Jan%202026%2017:20:13%20GMT	https://www.sabourg.org/communiques-officiels-2024	C:/My%20Web%20Sites/cloner/www.sabourg.org/communiques-officiels-2024	(from https://www.sabourg.org/)
